Players,Samurai,Eyas,Sophist,Kaiju,ICHIGO,CHICO,Pidgeon,Shinta,TheDood22,Cal,mjmd,bellyache,DrMichaelBay,Frog Lady,Thumbs,Payday,The_Verminator,Zxtra,Lv.3 Asian,Rainstorm,goober,TDollas,Helix
Samurai,,9,5,4,8,3,1,3,2,5,2,1,2,1,4,0,1,1,0,1,0,1,1
Eyas,9,,4,8,4,4,2,1,5,3,2,3,1,1,5,1,1,0,1,0,3,0,1
Sophist,5,4,,6,8,1,3,5,3,5,1,4,1,0,1,1,1,0,1,2,1,0,2
Kaiju,4,8,6,,6,1,0,2,3,5,2,3,1,0,1,1,1,2,1,3,2,1,2
ICHIGO,8,4,8,6,,2,3,2,5,5,3,3,2,0,3,3,1,1,1,3,3,0,1
CHICO,3,4,1,1,2,,2,0,2,1,1,2,0,0,1,0,0,1,0,0,2,1,0
Pidgeon,1,2,3,0,3,2,,0,0,2,1,1,2,0,1,0,1,0,0,0,1,0,1
Shinta,3,1,5,2,2,0,0,,4,2,1,1,0,0,0,1,0,0,1,0,2,1,2
TheDood22,2,5,3,3,5,2,0,4,,4,4,4,0,2,4,3,0,1,1,0,7,1,4
Cal,5,3,5,5,5,1,2,2,4,,3,1,2,2,3,2,0,1,0,1,3,0,5
mjmd,2,2,1,2,3,1,1,1,4,3,,1,0,0,0,0,0,2,1,1,1,0,0
bellyache,1,3,4,3,3,2,1,1,4,1,1,,0,2,2,0,0,0,0,1,4,0,2
DrMichaelBay,2,1,1,1,2,0,2,0,0,2,0,0,,0,2,0,0,1,0,1,1,1,0
Frog Lady,1,1,0,0,0,0,0,0,2,2,0,2,0,,1,0,0,1,1,0,1,0,1
Thumbs,4,5,1,1,3,1,1,0,4,3,0,2,2,1,,1,0,0,0,0,0,1,3
Payday,0,1,1,1,3,0,0,1,3,2,0,0,0,0,1,,1,0,1,0,1,1,1
The_Verminator,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,1
Zxtra,1,0,0,2,1,1,0,0,1,1,2,0,1,1,0,0,0,,0,2,0,0,1
Lv.3 Asian,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,,1,2,0,0
Rainstorm,1,0,2,3,3,0,0,0,0,1,1,1,1,0,0,0,0,2,1,,1,0,2
goober,0,3,1,2,3,2,1,2,7,3,1,4,1,1,0,1,0,0,2,1,,0,1
TDollas,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,,0
Helix,1,1,2,2,1,0,1,2,4,5,0,2,0,1,3,1,1,1,0,2,1,0,
